Week,Day,Concept,Task,Level,Confidence,Completed,Instructions
2,2,HTML,Active learning: Inspecting a simple example,Beginner,7,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. ../exercises/day02/the_head_metadata_in_html/title-example.html
2,2,HTML,Active learning: Experiment with character encoding,Beginner,7,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. ../exercises/day02/the_head_metadata_in_html/title-example-copy.html
2,2,HTML,Active learning: The description's use in search engines,Beginner,7,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. ../exercises/day02/the_head_metadata_in_html/se.html
2,2,HTML,Active learning: applying CSS and JavaScript to a page,Beginner,7,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. ../exercises/day02/the_head_metadata_in_html/meta-example.html
2,2,HTML,Active learning: Giving our content structure,Beginner,7,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. ../exercises/day02/html_text_fundamentals/short-story.html
2,2,HTML,Active learning: Marking up an unordered list,Beginner,7,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. ../exercises/day02/html_text_fundamentals/shopping-list.html
2,2,HTML,Active learning: Marking up an ordered list,Beginner,7,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. ../exercises/day02/html_text_fundamentals/directions.html
2,2,HTML,Active learning: Marking up our recipe page,Beginner,7,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. ../exercises/day02/html_text_fundamentals/recipe-page.html
2,2,HTML,Test your skills: HTML text fundamentals (3x Tasks),Beginner,7,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. ../exercises/day02/html_text_fundamentals/
2,2,HTML,Active learning: creating your own example link,Beginner,0,FALSE,Submit your exercise in the appropriate folder. Stage - Commit - Push. Replace this field with the exercise solution URL
2,2,HTML,Active learning: creating a navigation menu,Beginner,7,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. ../exercises/day02/Creating_hyperlinks/navigation-menu-start/index.html
2,2,HTML,Test your skills: Creating hyperlinks (3x Tasks),Beginner,7,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. ../exercises/day02/Creating_hyperlinks/
